chr1	12559495	12560014	Adipocytes
chr7	134849832	134850163	Adipocytes
chr2	127878591	127878832	Adipocytes
chr11	62304486	62304527	Adipocytes
chr2	238314090	238314154	Adipocytes
chr11	27502490	27502972	Adipocytes
chr3	179388210	179388365	Adipocytes
chr17	1378762	1378921	Adipocytes
chr1	110426397	110427130	Adipocytes
chr8	128170233	128170261	Adipocytes
chr17	41004635	41004930	Adipocytes
chr7	33450504	33450884	Adipocytes
chr11	12840060	12840807	Adipocytes
chr19	57125149	57125481	Adipocytes
chr11	75537041	75537264	Adipocytes
chr12	64331588	64331861	Adipocytes
chr6	155357993	155358380	Adipocytes
chr19	48219989	48220176	Adipocytes
chr17	41004344	41004548	Adipocytes
chr17	40577386	40577762	Adipocytes
chr10	71891101	71891451	Adipocytes
chr12	109595370	109595609	Adipocytes
chr9	133811282	133811331	Adipocytes
chr13	110896067	110896287	Adipocytes
chr17	47692959	47693460	Adipocytes
chr17	62011699	62011798	Adipocytes
chr19	5714971	5715186	Adipocytes
chr12	115682864	115683070	Adipocytes
chr10	71232977	71233198	Adipocytes
chr12	117088492	117088772	Adipocytes
chr17	38449414	38450262	Adipocytes
chr2	44463141	44463413	Adipocytes
chr18	3155153	3155377	Adipocytes
chr4	144203886	144204237	Adipocytes
chr4	38046965	38047177	Adipocytes
chr10	71890189	71890613	Adipocytes
chr12	125111262	125111661	Adipocytes
chr13	107115259	107115679	Adipocytes
chr4	114766312	114766722	Adipocytes
chr17	41003816	41004325	Adipocytes
chr14	95882435	95882540	Adipocytes
chr8	122776474	122776909	Adipocytes
chr9	19129149	19129252	Adipocytes
chr9	134195864	134195923	Adipocytes
chr2	10955155	10955481	Adipocytes
chr9	129882758	129883094	Adipocytes
chr6	5130524	5130907	Adipocytes
chr8	22514201	22515015	Adipocytes
chr8	10576847	10576922	Adipocytes
chr6	151857255	151857511	Adipocytes
chr7	95237087	95237448	Adipocytes
chr7	1096421	1096548	Adipocytes
chr9	124063082	124063238	Adipocytes
chr5	123204555	123205221	Adipocytes
chr12	125114609	125114926	Adipocytes
chr2	242517607	242518105	Adipocytes
chr6	25068658	25069230	Adipocytes
chr9	124064166	124064863	Adipocytes
chr11	18994017	18994128	Adipocytes
chr18	71452235	71452390	Adipocytes
chr2	109942714	109942956	Adipocytes
chr20	60782585	60782684	Adipocytes
chr12	1903817	1903870	Adipocytes
chr14	95948244	95948497	Adipocytes
chr7	151662342	151662407	Adipocytes
chr6	52409363	52409474	Adipocytes
chr20	59920154	59920394	Adipocytes
chr15	73988787	73988964	Adipocytes
chr22	45998870	45999063	Adipocytes
chr7	116171049	116171732	Adipocytes
chr2	1718266	1718569	Adipocytes
chr8	82400918	82401473	Adipocytes
chr11	93266033	93266361	Adipocytes
chr18	60904482	60904663	Adipocytes
chr2	238406390	238406507	Adipocytes
chr8	19438539	19439073	Adipocytes
chr12	94389335	94389633	Adipocytes
chr9	101673726	101674131	Adipocytes
chr19	30197315	30197749	Adipocytes
chr6	148702290	148702823	Adipocytes
chr12	13353279	13353801	Adipocytes
chr12	2037716	2037873	Adipocytes
chr1	96991150	96991596	Adipocytes
chr17	80024095	80024158	Adipocytes
chr8	62322983	62323326	Adipocytes
chr20	11974566	11974955	Adipocytes
chr7	3198118	3198426	Adipocytes
chr4	8188122	8188193	Adipocytes
chr9	111944901	111945064	Adipocytes
chr18	45828284	45828616	Adipocytes
chr5	178296634	178296851	Adipocytes
chr15	74881567	74881807	Adipocytes
chr13	110946429	110947629	Adipocytes
chr17	75673190	75673509	Adipocytes
chr3	32231804	32232538	Adipocytes
chr19	4507561	4507878	Adipocytes
chr1	65955929	65956591	Adipocytes
chr18	33313389	33313760	Adipocytes
chr19	45293499	45293653	Adipocytes
chr11	70685260	70685603	Adipocytes
chr2	206569567	206570211	Adipocytes
chr6	11952163	11952844	Adipocytes
chr22	38051825	38052317	Adipocytes
chr17	41722915	41723060	Adipocytes
chr1	208816386	208816511	Adipocytes
chr5	5303925	5304132	Adipocytes
chr18	57396095	57396967	Adipocytes
chr22	39664961	39665254	Adipocytes
chr17	77435409	77435569	Adipocytes
chr9	133811340	133811535	Adipocytes
chr17	76471415	76471616	Adipocytes
chr3	189704094	189704172	Bladder-Ep
chr3	189704269	189704366	Bladder-Ep
chr7	97408636	97408741	Bladder-Ep
chr15	81262935	81263036	Bladder-Ep
chr17	43208653	43208757	Bladder-Ep
chr2	135276066	135276150	Bladder-Ep
chr10	96989190	96989291	Bladder-Ep
chr2	61175511	61175883	Bladder-Ep
chr1	184970697	184970984	Bladder-Ep
chr1	33609719	33609941	Bladder-Ep
chr1	34004605	34004729	Bladder-Ep
chr6	56894214	56894332	Bladder-Ep
chr6	34966595	34967579	Bladder-Ep
chr19	11926770	11927571	Bladder-Ep
chr10	9271377	9271574	Bladder-Ep
chr14	93706294	93706736	Bladder-Ep
chr20	51841115	51841637	Bladder-Ep
chr18	7173232	7173411	Bladder-Ep
chr2	152635948	152636403	Bladder-Ep
chr4	103900659	103901142	Bladder-Ep
chr10	111585735	111585936	Bladder-Ep
chr1	120215850	120216640	Bladder-Ep
chr4	2961191	2961472	Bladder-Ep
chr8	82579221	82580128	Bladder-Ep
chr15	77448648	77448988	Bladder-Ep
chr16	28578898	28579559	Bladder-Ep
chr1	145126175	145126555	Bladder-Ep
chr17	39658736	39658997	Bladder-Ep
chr10	124054427	124054658	Bladder-Ep
chr10	70184304	70184465	Bladder-Ep
chr7	34214881	34215193	Bladder-Ep
chr7	116048932	116049199	Bladder-Ep
chr8	141660234	141660327	Bladder-Ep
chr10	133993220	133993304	Bladder-Ep
chr2	113715850	113716005	Bladder-Ep
chr12	133435697	133435923	Bladder-Ep
chr18	74246865	74247019	Bladder-Ep
chr4	6696934	6697114	Bladder-Ep
chr6	34778178	34778644	Bladder-Ep
chr19	49305764	49305999	Bladder-Ep
chr17	77844944	77845047	Bladder-Ep
chr16	33785708	33785771	Bladder-Ep
chr3	184566500	184566691	Bladder-Ep
chr15	101938760	101938873	Bladder-Ep
chr2	30653590	30653622	Bladder-Ep
chr12	11795760	11796562	Bladder-Ep
chr19	53463257	53463449	Bladder-Ep
chr13	20969690	20969953	Bladder-Ep
chr4	36101093	36101697	Bladder-Ep
chr1	200967290	200967742	Bladder-Ep
chr14	102493026	102493778	Bladder-Ep
chr3	53961625	53961837	Bladder-Ep
chr2	131085545	131085628	Bladder-Ep
chr14	50835875	50836194	Bladder-Ep
chr14	55206369	55206541	Bladder-Ep
chr9	92717056	92717425	Bladder-Ep
chr14	33119635	33120170	Bladder-Ep
chr17	39659216	39659640	Bladder-Ep
chr11	43943237	43943764	Bladder-Ep
chr3	120097306	120097436	Bladder-Ep
chr13	81476947	81477470	Bladder-Ep
chr3	173816535	173817077	Bladder-Ep
chr6	114453910	114454121	Bladder-Ep
chr9	85843599	85843716	Bladder-Ep
chr1	203273229	203273497	Bladder-Ep
chr16	1603356	1603506	Bladder-Ep
chr2	161086129	161086853	Bladder-Ep
chr7	140707630	140707986	Bladder-Ep
chr10	33311431	33311625	Bladder-Ep
chr4	38568850	38569129	Bladder-Ep
chr6	37102043	37102317	Bladder-Ep
chr8	62146816	62146950	Bladder-Ep
chr16	1576679	1576810	Bladder-Ep
chr10	51500039	51500152	Bladder-Ep
chr18	12723937	12724418	Bladder-Ep
chr2	231604239	231604554	Bladder-Ep
chr7	140510165	140510603	Bladder-Ep
chr4	166246440	166246976	Bladder-Ep
chr15	45375900	45376049	Bladder-Ep
chr4	121662378	121662872	Bladder-Ep
chr9	98119672	98119940	Bladder-Ep
chr10	3985197	3985387	Bladder-Ep
chr16	32889551	32889614	Bladder-Ep
chr2	55180749	55180954	Bladder-Ep
chr2	1692638	1692911	Bladder-Ep
chr14	81856493	81856863	Bladder-Ep
chr2	48736357	48736769	Bladder-Ep
chr7	90665173	90665228	Bladder-Ep
